name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
D_L19_Tie_3_4_90,61,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.3515,0.0,0.0,90
D_L19_Tie_2_3_0,62,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.3515,0.0,0.0,0
D_L19_Tie_4_3_0,63,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.3515,0.0,0.0,0
D_L20_DiaV_4_1,64,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.3705,0.0,0.0,90
D_L20_DiaV_5_3,65,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.3705,0.0,0.0,90
D_L21_Core2x2,66,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.3895,0.0,0.0,0
D_L21_Core1x1_3_1,67,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.3895,0.0,0.0,0
D_L21_Core1x1_3_5,68,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.3895,0.0,0.0,0
D_L21_Core1x1_1_3,69,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.3895,0.0,0.0,0
D_L21_Core1x1_5_3,70,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.3895,0.0,0.0,0
D_L22_DiaH_1_1,71,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.4085,0.0,0.0,0
D_L22_DiaH_2_3,72,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.4085,0.0,0.0,0
D_L23_Tie_3_2_90,73,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.4275,0.0,0.0,90
D_L23_Tie_3_4_90,74,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.4275,0.0,0.0,90
D_L23_Tie_2_3_0,75,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.4275,0.0,0.0,0
D_L23_Tie_4_3_0,76,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.4275,0.0,0.0,0
D_L24_DiaV_4_1,77,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.4465,0.0,0.0,90
D_L24_DiaV_5_3,78,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.4465,0.0,0.0,90
D_L25_Core2x2,79,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.4655,0.0,0.0,0
D_L25_Core1x1_3_1,80,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.4655,0.0,0.0,0
D_L25_Core1x1_3_5,81,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.4655,0.0,0.0,0
D_L25_Core1x1_1_3,82,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,-0.076,0.0,0.4655,0.0,0.0,0
D_L25_Core1x1_5_3,83,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.076,0.0,0.4655,0.0,0.0,0
D_L26_DiaH_1_1,84,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.4845,0.0,0.0,0
D_L26_DiaH_2_3,85,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.019,0.0,0.4845,0.0,0.0,0
D_L27_Tie_3_2_90,86,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,-0.038,0.5035,0.0,0.0,90
D_L27_Tie_3_4_90,87,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.019,0.038,0.5035,0.0,0.0,90
D_L27_Tie_2_3_0,88,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.019,0.0,0.5035,0.0,0.0,0
D_L27_Tie_4_3_0,89,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,0.057,0.0,0.5035,0.0,0.0,0
D_L28_DiaV_4_1,90,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.095,-0.076,0.5225,0.0,0.0,90
D_L28_DiaV_5_3,91,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.133,0.0,0.5225,0.0,0.0,90
D_L29_Core2x2,92,0.076,0.076,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.019,0.5415,0.0,0.0,0
D_L29_Core1x1_3_1,93,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,-0.076,0.5415,0.0,0.0,0
D_L29_Core1x1_3_5,94,0.038,0.038,0.019,0.020577,0.6,0.0,0.0,0.01,0.0,0.076,0.5415,0.0,0.0,0
