name,order,size_x,size_y,size_z,mass,mu_slide,mu_spin,mu_roll,drop_height,posX,posY,posZ,rotX,rotY,rotZ
C_L15_Louver_1_3_5,34,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.076,0.2755,0.0,0.0,0
C_L15_Tie_1_2,35,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.2755,0.0,0.0,90
C_L16_Louver_0_0_3,36,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.057,0.0,0.2945,0.0,0.0,90
C_L16_Louver_1_6_3,37,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.171,0.0,0.2945,0.0,0.0,90
C_L17_Louver_0_1_6,38,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.3135,0.0,0.0,0
C_L17_Louver_1_3_1,39,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.3135,0.0,0.0,0
C_L18_Louver_0_3_6,40,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.114,0.3325,0.0,0.0,0
C_L18_Louver_1_3_0,41,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.3325,0.0,0.0,0
C_L18_Tie_1_2,42,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.3325,0.0,0.0,90
C_L19_Louver_0_3_5,43,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,0.076,0.3515,0.0,0.0,0
C_L19_Louver_1_1_1,44,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,-0.076,0.3515,0.0,0.0,0
C_L20_Louver_0_6_3,45,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.171,0.0,0.3705,0.0,0.0,90
C_L20_Louver_1_0_3,46,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.057,0.0,0.3705,0.0,0.0,90
C_L21_Louver_0_3_1,47,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.076,0.3895,0.0,0.0,0
C_L21_Louver_1_1_6,48,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,-0.019,0.114,0.3895,0.0,0.0,0
C_L21_Tie_1_2,49,0.076,0.038,0.019,0.041154,0.6,0.0,0.0,0.01,-0.057,-0.038,0.3895,0.0,0.0,90
C_L22_Louver_0_3_0,50,0.152,0.038,0.019,0.082308,0.6,0.0,0.0,0.01,0.057,-0.114,0.4085,0.0,0.0,0
